X,Y,Z,Normalized Luminosity,Normalized Radius
629.03744,-1796.48935,2107.16624,0.00000,0.00107
1227.71365,-3506.85224,4112.74241,0.00000,0.00041
544.89534,-1557.52284,1826.60563,0.00000,0.00141
293.55712,-839.25693,984.51724,0.00000,0.00425
266.05823,-759.73426,891.01834,0.00000,0.00280
393.94881,-1124.76357,1319.13680,0.00000,0.00195
1025.80504,-2926.32002,3434.34428,0.00000,0.00083
719.45083,-2052.56078,2408.31974,0.00000,0.00079
361.35870,-1031.21824,1210.17048,0.00001,0.00247
835.22647,-2383.18929,2796.80182,0.00001,0.00127
451.68952,-1290.57957,1514.01681,0.00000,0.00232
537.56693,-1534.98971,1800.91949,0.00000,0.00210
503.79205,-1438.56063,1688.26404,0.00000,0.00195
609.64515,-1741.51288,2044.02884,0.00000,0.00129
636.57402,-1817.45550,2134.17417,0.00000,0.00135
3569.13648,-10214.25678,11979.49119,0.00000,0.00005
315.83040,-903.80009,1059.82958,0.00000,0.00702
690.38802,-1975.20743,2315.90840,0.00000,0.00097
342.01651,-978.56818,1147.48230,0.00000,0.00407
694.02646,-1985.65383,2328.57538,0.00000,0.00099
201.21313,-576.14026,675.48465,0.00000,0.01426
701.31004,-2005.12732,2352.06938,0.00000,0.00096
774.95950,-2215.39701,2599.14603,0.00001,0.00102
252.50887,-722.47368,847.33529,0.00000,0.00188
684.98395,-1961.37648,2301.61560,0.00001,0.00196
856.58730,-2451.99877,2877.00491,0.00000,0.00056
706.25463,-2020.02889,2371.44033,0.00003,0.00104
591.48066,-1690.14754,1983.76178,0.00000,0.00172
368.36823,-1052.95556,1236.36966,0.00000,0.00540
800.31662,-2288.27267,2687.81757,0.00001,0.00091
883.44393,-2525.17707,2965.94822,0.00000,0.00112
738.53534,-2110.14352,2477.51282,0.00000,0.00080
1012.84089,-2894.57725,3398.65767,0.00000,0.00065
1110.88615,-3174.84546,3728.61892,0.00000,0.00060
644.33103,-1841.90816,2162.75814,0.00001,0.00107
430.91544,-1232.99427,1447.30113,0.00000,0.00253
562.04143,-1608.25164,1887.66003,0.00000,0.00137
202.59801,-580.24490,681.01440,0.00000,0.01630
307.18422,-879.08441,1032.51242,0.00000,0.00823
1745.13331,-5002.36110,5870.17287,0.00000,0.00028
1856.77803,-5319.05942,6243.21716,0.00000,0.00045
1560.62563,-4477.60742,5256.28372,0.00000,0.00031
324.29402,-928.82123,1090.57468,0.00000,0.00189
