pl_name,hostname,ra,dec,sy_dist,X,Y,Z
Kepler-84 f,Kepler-84,298.2520208,40.4960842,1023.9,368.56276987208616,-685.870651755659,664.9166441927011
Kepler-841 b,Kepler-841,284.2513637,48.8095962,998.961,161.95430419856,-637.6329864989299,751.7433454318142
Kepler-842 b,Kepler-842,292.3285976,49.6535171,532.726,131.03035588013375,-319.03136299533406,406.0135790084672
Kepler-843 b,Kepler-843,296.3219786,48.9714373,1165.66,339.29243043722954,-685.8435930773412,879.3534261505782
Kepler-844 b,Kepler-844,287.8578541,48.7739646,431.776,87.26031759841736,-270.8441548519905,324.7454309626762
Kepler-845 b,Kepler-845,290.9576363,49.2037262,431.051,100.73501866314155,-263.00476870154563,326.3217924935186
Kepler-846 b,Kepler-846,287.0570731,49.0460112,1127.12,216.70022563616675,-706.2774903119503,851.2418065907519
Kepler-847 b,Kepler-847,283.5048144,49.4509371,513.103,77.89709247996015,-324.3446758779778,389.8810880534961
Kepler-848 b,Kepler-848,293.2882949,48.8116114,1378.47,358.8953705795341,-833.8145765524312,1037.3653675563248
Kepler-849 b,Kepler-849,290.8517961,48.5213243,822.134,193.82765700326752,-508.86866462039217,615.9446691904092
Kepler-85 b,Kepler-85,290.9734395,45.2902761,765.025,192.64312669036102,-502.54870210058795,543.688034060872
Kepler-85 c,Kepler-85,290.9734395,45.2902761,765.025,192.64312669036102,-502.54870210058795,543.688034060872
Kepler-85 d,Kepler-85,290.9734395,45.2902761,765.025,192.64312669036102,-502.54870210058795,543.688034060872
Kepler-85 e,Kepler-85,290.9734395,45.2902761,765.025,192.64312669036102,-502.54870210058795,543.688034060872
Kepler-850 b,Kepler-850,293.0844515,48.5753645,1661.28,430.96683595342546,-1011.1478759857071,1245.6720264972985
Kepler-851 b,Kepler-851,294.6802199,49.1401106,839.255,229.25781478283255,-498.89584515822463,634.7383280296386
Kepler-852 b,Kepler-852,297.3915863,48.5606875,1619.03,492.97208612170726,-951.3814776789544,1213.7174082685892
Kepler-853 b,Kepler-853,283.936781,49.1102748,568.676,89.6588371444068,-361.2997841895864,429.90249108660805
Kepler-855 b,Kepler-855,295.0949565,43.537565,1506.58,463.2041852903573,-989.0616839725385,1037.7775120067415
Kepler-856 b,Kepler-856,289.6038379,46.3149097,1351.17,313.11750935953285,-879.149771190747,977.0944038565262
Kepler-857 b,Kepler-857,294.6323978,43.4004526,983.502,297.83422541550914,-649.5557277003034,675.7575858152632
